date,time,station_name,num_bikes_available,num_docks_available,bikes_rented,bikes_returned
2024-10-03,00:20:17,6 Ave & W 34 St,7,54,0,0
2024-10-03,00:20:17,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:20:17,Broadway & W 36 St,9,65,0,1
2024-10-03,00:20:17,Broadway & W 58 St,1,74,0,0
2024-10-03,00:20:17,8 Ave & W 38 St,30,32,2,0
2024-10-03,00:20:17,W 37 St & Broadway,1,83,0,0
2024-10-03,00:20:17,E 41 St & Madison Ave (SE corner),1,89,0,0
2024-10-03,00:20:17,W 30 St & 8 Ave,32,31,0,0
2024-10-03,00:20:17,W 55 St & 6 Ave,0,73,0,0
2024-10-03,00:20:17,W 51 St & 6 Ave,0,78,0,0
2024-10-03,00:20:17,W 54 St & 6 Ave,0,59,0,0
2024-10-03,00:20:17,E 43 St & Madison Ave,0,52,0,0
2024-10-03,00:20:17,W 52 St & 11 Ave,48,0,0,0
2024-10-03,00:20:17,E 39 St & Lexington Ave,2,56,0,0
2024-10-03,00:20:17,W 42 St & 6 Ave,7,41,0,0
2024-10-03,00:20:17,Broadway & W 51 St,1,73,0,0
2024-10-03,00:20:17,W 31 St & 7 Ave,18,64,0,0
2024-10-03,00:20:17,7 Ave & Central Park South,0,78,1,0
2024-10-03,00:20:17,E 40 St & 5 Ave,4,86,0,0
2024-10-03,00:20:17,W 47 St & 10 Ave,33,1,0,0
2024-10-03,00:20:17,6 Ave & W 33 St,37,33,0,0
2024-10-03,00:20:17,6 Ave & W 45 St,0,60,0,0
2024-10-03,00:20:17,W 36 St & 9 Ave,10,31,0,0
2024-10-03,00:20:17,W 47 St & 9 Ave,46,5,0,0
2024-10-03,00:20:17,W 36 St & 7 Ave,1,32,0,0
2024-10-03,00:20:17,Broadway & W 37 St,0,55,0,0
2024-10-03,00:20:17,W 53 St & 10 Ave,23,1,1,0
2024-10-03,00:20:17,9 Ave & W 45 St,24,0,0,0
2024-10-03,00:20:17,W 48 St &  Rockefeller Plaza,1,53,0,0
2024-10-03,00:25:17,W 35 St & 8 Ave,39,12,0,0
2024-10-03,00:25:17,W 54 St & 9 Ave,33,3,0,0
2024-10-03,00:25:17,E 40 St & Park Ave,0,122,0,0
2024-10-03,00:25:17,Broadway & W 38 St,1,60,0,0
2024-10-03,00:25:17,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:25:17,E 35 St & Madison Ave,2,46,0,0
2024-10-03,00:25:17,Broadway & W 41 St,0,50,0,0
2024-10-03,00:25:17,8 Ave & W 49 St,6,49,0,0
2024-10-03,00:25:17,W 50 St & 9 Ave,12,9,0,2
2024-10-03,00:25:17,Broadway & W 53 St,1,76,0,1
2024-10-03,00:25:17,E 48 St & 5 Ave,0,56,0,0
2024-10-03,00:25:17,Broadway & W 48 St,2,95,0,2
2024-10-03,00:25:17,W 47 St & 6 Ave,1,58,0,0
2024-10-03,00:25:17,W 49 St & 8 Ave,27,39,1,0
2024-10-03,00:25:17,9 Ave & W 39 St,32,1,0,0
2024-10-03,00:25:17,W 43 St & 6 Ave,0,61,0,0
2024-10-03,00:25:17,8 Ave & W 31 St,32,57,0,0
2024-10-03,00:25:17,Central Park S & 6 Ave,0,66,0,0
2024-10-03,00:25:17,W 42 St & 8 Ave,34,3,0,0
2024-10-03,00:25:17,W 43 St & 10 Ave,110,0,0,0
2024-10-03,00:25:17,W 56 St & 8 Ave,13,27,0,0
2024-10-03,00:25:17,7 Ave & W 55 St,0,57,0,0
2024-10-03,00:25:17,8 Ave & W 52 St,6,23,1,0
2024-10-03,00:25:17,W 45 St & 8 Ave,24,37,1,0
2024-10-03,00:25:17,W 41 St & 8 Ave,76,21,1,0
2024-10-03,00:25:17,W 40 St & 7 Ave,1,36,0,0
2024-10-03,00:25:17,W 44 St & 5 Ave,0,68,0,0
2024-10-03,00:25:17,6 Ave & W 34 St,6,55,1,0
2024-10-03,00:25:17,E 41 St & Madison Ave (SE corner),1,89,0,0
2024-10-03,00:25:17,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:25:17,8 Ave & W 38 St,29,33,1,0
2024-10-03,00:25:17,Broadway & W 36 St,8,66,1,0
2024-10-03,00:25:17,W 50 St & 10 Ave,47,2,2,0
2024-10-03,00:25:17,W 51 St & Rockefeller Plaza,0,49,0,0
2024-10-03,00:25:17,Broadway & W 58 St,1,74,0,0
2024-10-03,00:25:17,W 52 St & 6 Ave,0,53,0,0
2024-10-03,00:25:17,Broadway & W 56 St,8,102,0,0
2024-10-03,00:25:17,W 37 St & 5 Ave,0,59,0,0
2024-10-03,00:25:17,W 37 St & Broadway,1,83,0,0
2024-10-03,00:25:17,W 42 St & Dyer Ave,29,0,0,0
2024-10-03,00:25:17,W 31 St & 7 Ave,18,64,0,0
2024-10-03,00:25:17,E 40 St & 5 Ave,3,87,1,0
2024-10-03,00:25:17,W 47 St & 9 Ave,47,4,0,1
2024-10-03,00:25:17,6 Ave & W 45 St,3,60,0,3
2024-10-03,00:25:17,W 51 St & 6 Ave,0,78,0,0
2024-10-03,00:25:17,W 36 St & 9 Ave,11,30,0,1
2024-10-03,00:25:17,W 55 St & 6 Ave,0,73,0,0
2024-10-03,00:25:17,W 30 St & 8 Ave,32,31,0,0
2024-10-03,00:25:17,W 47 St & 10 Ave,33,1,0,0
2024-10-03,00:25:17,W 54 St & 6 Ave,0,59,0,0
2024-10-03,00:25:17,E 39 St & Lexington Ave,2,56,0,0
2024-10-03,00:25:17,Broadway & W 51 St,1,73,0,0
2024-10-03,00:25:17,W 52 St & 11 Ave,48,0,0,0
2024-10-03,00:25:17,7 Ave & Central Park South,0,78,0,0
2024-10-03,00:25:17,W 42 St & 6 Ave,7,41,0,0
2024-10-03,00:25:17,6 Ave & W 33 St,38,32,0,1
